"","Segment_number","HubDist2","Presence","Year","Seg.2","HubDist2.2","Presence.2","Year.2","Change"
"272","280",13.7692333080043,1,"2007","280",13.7692333080043,1,"2018",0
"273","290",14.0188012380465,1,"2007","290",14.0188012380465,0,"2018",1
"274","291",14.0488179745896,1,"2007","291",14.0488179745896,0,"2018",1
"275","292",14.078696642296,1,"2007","292",14.078696642296,1,"2018",0
"276","293",14.1095038784363,1,"2007","293",14.1095038784363,1,"2018",0
"277","294",14.1399160889223,1,"2007","294",14.1399160889223,1,"2018",0
"278","295",14.1699325022007,1,"2007","295",14.1699325022007,1,"2018",0
"279","296",14.2001736231541,1,"2007","296",14.2001736231541,0,"2018",1
"280","297",14.2302765727447,1,"2007","297",14.2302765727447,0,"2018",1
"281","300",14.2917079208305,1,"2007","300",14.2917079208305,1,"2018",0
"282","299",14.2742580452251,1,"2007","299",14.2742580452251,1,"2018",0
"283","298",14.2566782695683,1,"2007","298",14.2566782695683,1,"2018",0
"284","301",14.3190156141151,1,"2007","301",14.3190156141151,1,"2018",0
"285","302",14.3486862190352,1,"2007","302",14.3486862190352,1,"2018",0
"286","303",14.3780064253813,1,"2007","303",14.3780064253813,1,"2018",0
"287","307",14.4799344368731,1,"2007","307",14.4799344368731,0,"2018",1
"288","306",14.4613512122807,1,"2007","306",14.4613512122807,0,"2018",1
"289","305",14.4456193908369,1,"2007","305",14.4456193908369,0,"2018",1
"290","304",14.4285460043548,1,"2007","304",14.4285460043548,0,"2018",1
"291","312",14.6252477607302,1,"2007","312",14.6252477607302,1,"2018",0
"292","311",14.6162620387093,1,"2007","311",14.6162620387093,1,"2018",0
"293","310",14.6103215356821,1,"2007","310",14.6103215356821,1,"2018",0
"294","335",14.9886717101868,1,"2007","335",14.9886717101868,0,"2018",1
"295","336",15.0177280425182,1,"2007","336",15.0177280425182,1,"2018",0
"296","337",15.0476090991868,1,"2007","337",15.0476090991868,1,"2018",0
"297","338",14.9722419351055,1,"2007","338",14.9722419351055,1,"2018",0
